Application name, Database file, Application path, Sni Qt prefix
Bitcoin, bitcoin, /usr/bin/bitcoin-qt/, bitcoin-qt
Calendar Indicator, calendar-indicator, /opt/extras.ubuntu.com/calendar-indicator/share/calendar-indicator/icons/,
Catch Indicator, catch-indicator, /usr/share/catch-indicator/icons/,
Chromium, chromium, /usr/lib/chromium-browser/,
Chromium, chromium, /usr/lib/chromium/,
China Weather, china-weather, /usr/share/indicator/china/weather/data/media/,
Clementine, clementine, /usr/bin/clementine,
Cryptfolder Indicator, cryptfolder-indicator, /opt/extras.ubuntu.com/cryptfolder-indicator/share/cryptfolder-indicator/icons/,
Disper Indicator, disper-indicator, /usr/share/pixmaps/disper-indicator/,
Dropbox, dropbox, /opt/dropbox/images/hicolor/16x16/status/,
Dropbox, dropbox, {userhome}/.dropbox-dist/{dropbox}/images/hicolor/16x16/status/,
Flarget, flareget, /usr/bin/flareget/,
Franz, franz, /opt/franz/resources/app.asar.unpacked/assets/tray/linux/,
Google Chrome, google-chrome, /opt/google/chrome/,
Google Chrome (Unstable), google-chrome, /opt/google/chrome-unstable/,
Google Chrome (Beta), google-chrome, /opt/google/chrome-beta/,
Google Music Manager, google-music-manager, /opt/google/musicmanager/, MusicManager
Google Tasks Indicator, google-tasks-indicator, /usr/share/google-tasks-indicator/icons/,
Grive Tools (Dark), grive-tools, /opt/thefanclub/grive-tools/icons/dark/,
Grive Tools (Light), grive-tools, /opt/thefanclub/grive-tools/icons/light/,
Hexchat, hexchat, {userhome}/.config/hexchat/icons/,
HP Printer, hp-printing, /usr/bin/hp-systray/, python2.7
Ibus Anthy, ibus-anthy, /usr/share/ibus-anthy/icons/,
Ibus Mozc, ibus-mozc, /usr/share/ibus-mozc/,
Indicator Weather, indicator-weather, /usr/share/indicator-weather/media/,
Keepassx, keepassx, /usr/share/keepassx/icons/,
Megasync, megasync, /usr/bin/megasync,
Mint Update Manager, mintupdate, /usr/lib/linuxmint/mintUpdate/icons/,
Mumble, mumble, /usr/bin/mumble/,
Museeq, museeq, /usr/bin/museeq/,
My Weather Indicator, my-weather-indicator, /opt/extras.ubuntu.com/my-weather-indicator/share/my-weather-indicator/icons/,
Nylas N1, nylas, /usr/share/nylas/resources/,
OwnCloud, owncloud, /usr/share/owncloud/,
overGrive (Dark), overgrive, /opt/thefanclub/overgrive/icons/dark/,
overGrive (Light), overgrive, /opt/thefanclub/overgrive/icons/light/,
Pomodoro Indicator, pomodoro-indicator, /opt/extras.ubuntu.com/pomodoro-indicator/share/pomodoro-indicator/icons/,
Prime Indicator, primeindicator, /usr/lib/primeindicator/,
Pushbullet Indicator, pushbullet-indicator, /opt/extras.ubuntu.com/pushbullet-indicator/share/pushbullet-indicator/icons/,
QElectroTech, qelectrotech, /usr/share/qelectrotech/,
RadioTray, radiotray, /usr/share/radiotray/images/,
ScreenCloud, screencloud, /usr/bin/screencloud/,
Seafile, seafile, /usr/bin/seafile-applet/, seafile-applet
Sflphone, sflphone, /usr/share/sflphone/,
Skype, skype, /usr/share/skype/,
Skype, skypeforlinux, /usr/share/skypeforlinux/resources/,
Slack, slack, /usr/share/slack/resources/app.asar.unpacked/static/,
Spotify, spotify, /opt/spotify/spotify-client/Data/,
Stremio, stremio, /usr/share/stremio/resources/,
Teamviewer 11, teamviewer, /opt/teamviewer/, TVGuiDelegate
Telegram, telegram, {userhome}/.TelegramDesktop/tdata/ticons/,
Tomahawk, tomahawk, /usr/bin/tomahawk/,
Touchpad Indicator, touchpad-indicator, /opt/extras.ubuntu.com/touchpad-indicator/share/touchpad-indicator/icons/,
Trimage, trimage, /usr/lib/python2.7/site-packages/trimage/pixmaps/,
Twitch Indicator, twitch-indicator, /usr/lib/twitch-indicator/,
Variety, variety, /opt/extras.ubuntu.com/variety/share/variety/media/,
WizNote, wiznote, /usr/bin/WizNote/, WizNote
Xkbmod Indicator, xkbmod-indicator, /usr/share/indicator-xkbmod/icons/,
yd-tools , yd-tools, /opt/yd-tools/icons/,
Youtube Indicator, youtube-indicator, /opt/extras.ubuntu.com/youtube-indicator/share/youtube-indicator/icons/,
Yum Extender, yum-extender-dnf, /usr/share/pixmaps/yumex/,
Yum Extender(DNF), yum-extender-dnf,  /usr/share/yumex-dnf/gfx/,
Workrave, workrave, /usr/share/workrave/images/,
Whatsie, whatsie, /opt/whatsie/resources/,
